vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
VND-1291,False,NONE,LOW,,Score=13.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1065,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2_EXPIRED,Score=46.0 → MEDIUM. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: C.
VND-1190,False,NONE,LOW,,Score=17.3 → LOW. Breach: 29.4mo ago. Certs: OK. Contract expired: False. Rating: C.
VND-1283,False,NONE,LOW,,Score=7.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A.
VND-1102,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2_MISSING|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=45.0 → MEDIUM. Breach: none. Certs: ['SOC2_TYPE2_MISSING', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: B."
VND-1187,False,NONE,LOW,,Score=18.8 → LOW. Breach: 20.0mo ago. Certs: OK. Contract expired: False. Rating: B.
VND-1295,False,NONE,LOW,,Score=4.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1363,False,NONE,LOW,,Score=7.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A.
VND-1089,False,NONE,LOW,SOC2_TYPE2_MISSING,Score=38.0 → LOW. Breach: none. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: B-.
VND-1011,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 1.8 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1138,False,NONE,LOW,SOC2_TYPE2_EXPIRED,Score=37.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: D.
VND-1409,False,NONE,LOW,,Score=2.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B.
VND-1040,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 8.1 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1373,False,NONE,LOW,,Score=0.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A+.
VND-1133,False,NONE,LOW,SOC2_TYPE2_MISSING,Score=24.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: C-.
VND-1329,False,NONE,LOW,,Score=2.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B.
VND-1022,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 1.8 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1375,False,NONE,LOW,,Score=10.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A.
VND-1242,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_MISSING|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=65.0 → HIGH. Breach: none. Certs: ['SOC2_TYPE2_MISSING', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: D."
VND-1313,False,NONE,LOW,,Score=12.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B.
VND-1302,False,NONE,LOW,,Score=7.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A+.
VND-1280,False,NONE,LOW,,Score=3.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A.
VND-1057,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor is flagged under_investigation — hard-floor CRITICAL.
VND-1209,False,NONE,LOW,SOC2_TYPE2_EXPIRING_SOON,Score=19.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRING_SOON']. Contract expired: False. Rating: A.
VND-1227,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_MISSING|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=65.0 → HIGH. Breach: none. Certs: ['SOC2_TYPE2_MISSING', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: D."
VND-1113,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=44.0 → MEDIUM. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: C."
VND-1299,False,NONE,LOW,,Score=4.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1201,False,NONE,LOW,SOC2_TYPE2_EXPIRING_SOON,Score=9.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRING_SOON']. Contract expired: False. Rating: B.
VND-1076,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2_EXPIRED,Score=46.0 → MEDIUM. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: C.
VND-1263,False,NONE,LOW,,Score=10.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A+.
VND-1402,False,NONE,LOW,,Score=9.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B+.
VND-1136,False,NONE,LOW,SOC2_TYPE2_EXPIRED,Score=34.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: C-.
VND-1303,False,NONE,LOW,,Score=1.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B+.
VND-1413,False,NONE,LOW,,Score=10.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B.
VND-1370,False,NONE,LOW,,Score=8.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1401,False,NONE,LOW,,Score=1.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1185,False,NONE,LOW,,Score=19.6 → LOW. Breach: 20.4mo ago. Certs: OK. Contract expired: False. Rating: B-.
VND-1156,False,NONE,LOW,,Score=6.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B+.
VND-1032,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 0.8 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1211,False,NONE,LOW,SOC2_TYPE2_EXPIRING_SOON,Score=15.0 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRING_SOON']. Contract expired: False. Rating: A.
VND-1135,False,NONE,LOW,,Score=14.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: C-.
VND-1217,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=71.0 → HIGH. Breach: 25.7mo ago. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: C."
VND-1005,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 4.6 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1307,False,NONE,LOW,,Score=3.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A.
VND-1091,False,NONE,LOW,SOC2_TYPE2_MISSING,Score=37.8 → LOW. Breach: none. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: C+.
VND-1055,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor is flagged under_investigation — hard-floor CRITICAL.
VND-1387,False,NONE,LOW,,Score=3.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A+.
VND-1350,False,NONE,LOW,,Score=1.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1353,False,NONE,LOW,,Score=5.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B.
VND-1095,False,NONE,LOW,SOC2_TYPE2_MISSING,Score=35.8 → LOW. Breach: none. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: B-.
VND-1207,False,NONE,LOW,SOC2_TYPE2_EXPIRING_SOON,Score=9.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRING_SOON']. Contract expired: False. Rating: B.
VND-1359,False,NONE,LOW,,Score=4.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1036,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 5.2 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1241,True,HIGH_RISK_SCORE,CRITICAL,SOC2_TYPE2_MISSING|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=82.4 → CRITICAL. Breach: 14.0mo ago. Certs: ['SOC2_TYPE2_MISSING', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: C."
VND-1009,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 10.3 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1298,False,NONE,LOW,,Score=4.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B+.
VND-1221,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=73.2 → HIGH. Breach: 23.5mo ago. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: C."
VND-1043,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor is flagged under_investigation — hard-floor CRITICAL.
VND-1238,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=65.0 → HIGH. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: D."
VND-1395,False,NONE,LOW,,Score=1.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1225,True,HIGH_RISK_SCORE,CRITICAL,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=81.4 → CRITICAL. Breach: 15.0mo ago. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: C."
VND-1134,False,NONE,LOW,,Score=7.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: C-.
VND-1336,False,NONE,LOW,,Score=3.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A.
VND-1178,False,NONE,LOW,,Score=4.6 → LOW. Breach: 23.6mo ago. Certs: OK. Contract expired: False. Rating: A-.
VND-1093,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2_EXPIRED,Score=40.0 → MEDIUM. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: C+.
VND-1219,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=65.0 → HIGH. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: D."
VND-1189,False,NONE,LOW,,Score=13.1 → LOW. Breach: 25.6mo ago. Certs: OK. Contract expired: False. Rating: B-.
VND-1031,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 2.9 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1389,False,NONE,LOW,,Score=8.5 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A-.
VND-1317,False,NONE,LOW,,Score=9.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B+.
VND-1380,False,NONE,LOW,,Score=2.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B.
VND-1132,False,NONE,LOW,SOC2_TYPE2_EXPIRED,Score=34.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: C-.
VND-1072,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2_EXPIRED,Score=41.0 → MEDIUM. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: C.
VND-1279,False,NONE,LOW,,Score=2.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: B.
VND-1007,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 10.6 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1071,True,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2_MISSING,Score=40.0 → MEDIUM. Breach: none. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: C+.
VND-1314,False,NONE,LOW,,Score=3.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A.
VND-1198,False,NONE,LOW,SOC2_TYPE2_MISSING,Score=38.4 → LOW. Breach: 25.3mo ago. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: B-.
VND-1188,False,NONE,LOW,,Score=21.6 → LOW. Breach: 22.1mo ago. Certs: OK. Contract expired: False. Rating: C.
VND-1169,False,NONE,LOW,SOC2_TYPE2_MISSING,Score=25.5 → LOW. Breach: none. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: B-.
VND-1052,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor is flagged under_investigation — hard-floor CRITICAL.
VND-1066,False,NONE,LOW,SOC2_TYPE2_EXPIRED,Score=38.0 → LOW. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED']. Contract expired: False. Rating: B-.
VND-1150,False,NONE,LOW,SOC2_TYPE2_MISSING,Score=31.0 → LOW. Breach: none. Certs: ['SOC2_TYPE2_MISSING']. Contract expired: False. Rating: C.
VND-1002,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 3.1 months ago with HIGH data sensitivity — hard-floor CRITICAL.
VND-1346,False,NONE,LOW,,Score=0.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A+.
VND-1116,False,NONE,LOW,CONTRACT_EXPIRED_ACTIVE_ACCESS,Score=20.0 → LOW. Breach: none. Certs: ['CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: B.
VND-1341,False,NONE,LOW,,Score=3.0 → LOW. Breach: none. Certs: OK. Contract expired: False. Rating: A+.
VND-1056,True,VENDOR_UNDER_INVESTIGATION,CRITICAL,,Vendor is flagged under_investigation — hard-floor CRITICAL.
VND-1223,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_MISSING|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=65.0 → HIGH. Breach: none. Certs: ['SOC2_TYPE2_MISSING', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: D."
VND-1250,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=65.0 → HIGH. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: D."
VND-1216,True,ELEVATED_RISK_VENDOR,HIGH,SOC2_TYPE2_EXPIRED|CONTRACT_EXPIRED_ACTIVE_ACCESS,"Score=65.0 → HIGH. Breach: none. Certs: ['SOC2_TYPE2_EXPIRED', 'CONTRACT_EXPIRED_ACTIVE_ACCESS']. Contract expired: True. Rating: D."
VND-1039,True,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,Breach 6.6 months ago with HIGH data sensitivity — hard-floor CRITICAL.
